Label	Category	Name	A	B	REG	Selectivity	Reaction_Environ	Product_Restrictions			
1	Oxidation	Jones	1-OH	COOH	CrO3 H2SO4 H2O acetone	???	"H2O,acid"	N/A			
2	Oxidation	Jones	1-OH	COOH	Na2Cr2O7 H2SO4 H2O acetone	???	"H2O,acid"	N/A			
3	Oxidation	Jones	CHO	COOH	CrO3 H2SO4 H2O acetone	???	"H2O,acid"	N/A			
4	Oxidation	Jones	2-OH	ketone	CrO3 H2SO4 H2O acetone	???	"H2O,acid"	N/A			
5	Oxidation	Jones	2-OH	ketone	Na2Cr2O7 H2SO4 H2O acetone	???	"H2O,acid"	N/A			
6	Oxidation	Collins	1-OH	CHO	CrO3-2C5H5N pyr CH2Cl2	???	N/A	H2O			
7	Oxidation	Collins	2-OH	ketone	CrO3-2C5H5N pyr CH2Cl2	???	N/A	N/A			
8	Oxidation	PCC	1-OH	CHO	PCC CHCl2 sieve	???	acid	H2O			
9	Oxidation	PCC	1-OH	CHO	PCC NaOAc (powder) sieve	???	N/A	H2O			
10	Oxidation	PCC	1-OH	COOH	PCC DMF	???	acid	N/A			
11	Oxidation	PCC	CHO	COOH	PCC DMF	???	acid	N/A			
12	Oxidation	PCC	2-OH	ketone	PCC CHCl2 sieve	???	acid	N/A			
13	Oxidation	PCC	2-OH	ketone	PCC NaOAc (powder) sieve	???	N/A	N/A			
14	Oxidation	PDC	1-OH	CHO	PDC CH2Cl2	???	N/A	H2O			
15	Oxidation	PDC	1-OH	COOH	PDC DMF	???	N/A	N/A			
16	Oxidation	PDC	CHO	COOH	PDC DMF	???	N/A	N/A			
17	Oxidation	PDC	2-OH	ketone	PDC CH2Cl2	???	N/A	N/A			
18	Oxidation	Swern	1-OH	CHO	DMSO (COCl)2 CH2Cl2 Et3N -78	???	N/A	H2O			
19	Oxidation	Swern	2-OH	ketone	DMSO (COCl)2 CH2Cl2 Et3N -78	???	N/A	N/A			
20	Oxidation	Swern	silanol	acylsilane	DMSO (COCl)2 CH2Cl2 Et3N -78	???	N/A	N/A			
21	Oxidation	Swern	1-2-diol	a-ketol	DMSO (COCl)2 CH2Cl2 Et3N -78	???	N/A	N/A			
22	Oxidation	DMP	1-OH	CHO	DMP CH2Cl2	???	N/A	H2O			
23	Oxidation	DMP	2-OH	ketone	DMP CH2Cl2	???	N/A	N/A			
24	Oxidation	IBX	1-2-diol	a-ketol	IBX DMSO	???	N/A	N/A			
25	Oxidation	IBX	1-2-diol	a-diketone	IBX DMSO	???	N/A	N/A			
26	Oxidation	IBX	1-4-diol	lactol	IBX DMSO	???	N/A	N/A			
27	Oxidation	DMP	1-2-diol	CHO	DMP CH2Cl2	???	N/A	H2O			
28	Oxidation	DMP	1-2-diol	ketone	DMP CH2Cl2	???	N/A	N/A			
29	Oxidation	TPAP	1-OH	CHO	Pr4N+RuO4 - (cat.) NMO sieve	???	N/A	H2O			
30	Oxidation	TPAP	2-OH	ketone	Pr4N+RuO4 - (cat.) NMO sieve	???	N/A	N/A			
31	Oxidation	KMnO4	CHO	COOH	KMnO4 TBA KH2PO4	Overkill	acid	N/A			
32	Oxidation	NaClO2	CHO	COOH	NaClO2 NaH2PO4 TBA scavenging	???	acid	N/A			
33	Oxidation	Ag2O	CHO	COOH	"AgNO3 KOH, H+ H2O"	???	"H2O,acid"	N/A			
34	Oxidation	MnO2	enone	ester	MnO2 NaCN MeOH	???	N/A	N/A			
35	Oxidation	MnO2	allylic-OH	ester	MnO2 NaCN MeOH	???	N/A	N/A			
36	Oxidation	NaOCl	CHO	ester	NaOCl AcOH MeOH	CHO	N/A	N/A			
37	Oxidation	Oxone	CHO	ester	Oxone MeOH	???	N/A	N/A			
38	Reduction	LAH (n)	CHO	1-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
39	Reduction	LAH (n)	ketone	2-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
40	Reduction	LAH (n)	COOH	1-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
41	Reduction	LAH (n)	ester	1-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
42	Reduction	LAH (n)	amide	NR2	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
43	Reduction	LAH (n)	nitrile	NH2	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
44	Reduction	LAH (n)	lactone	a-w-diol	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
45	Reduction	LAH (n)	epoxide	1-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
46	Reduction	LAH (n)	epoxide	2-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
47	Reduction	LAH (n)	epoxide	3-OH	"LiAlH4 Et2O; ethylAc, MeOH, H2O; Rochelle"	Overkill	"H2O,acid"	N/A			
48	Reduction	LAH (n)	ester	CHO	LiAlH4 Et3NH THF	ester	N/A	N/A			
49	Reduction	LAH (n)	COOH	CHO	LiAlH4 Et3NH THF	COOH	N/A	N/A			
50	Reduction	DIBAL (e)	ester	CHO	DIBAL -78 (no moisture or air)	ester	N/A	N/A			
51	Reduction	DIBAL (e)	nitrile	CHO	DIBAL -78 (no moisture or air)	nitrile	N/A	N/A			
